Year,Country,January,February,March,April,May,June,July,August,September,October,November,December
2023,Afghanistan,76,69,51,50,,,,,,,,
2023,Azerbaijan,65,73,69,54,,,,,,,,
2023,Canada,45,16,37,20,,,,,,,,
2023,China,108,85,56,68,,,,,,,,
2023,Egypt,45,36,41,41,,,,,,,,
2023,England,57,43,65,46,,,,,,,,
2023,Germany,126,124,112,73,,,,,,,,
2023,Iran,526,446,472,377,,,,,,,,
2023,Iraq,229,173,165,124,,,,,,,,
2023,Jordan,44,34,33,29,,,,,,,,
2023,Kazakhstan,155,133,121,89,,,,,,,,
2023,Kuwait,113,73,81,24,,,,,,,,
2023,Othercountries,627,506,530,442,,,,,,,,
2023,Pakistani,34,33,45,41,,,,,,,,
2023,Palestine,38,41,36,16,,,,,,,,
2023,RussianFederation,1557,1183,1175,817,,,,,,,,
2023,SaudiArabia,61,62,73,32,,,,,,,,
2023,Ukraine,157,142,160,136,,,,,,,,
2023,UnitedStates,73,54,62,48,,,,,,,,
2023,Yemen,37,32,26,19,,,,,,,,
